fecha,tipo_servicio,distrito_origen,distrito_destino,piso_origen,piso_destino,ascensor_origen,ascensor_destino,lista_objetos,camion_usado,ayudantes,precio_cotizado,precio_final,cerrado,observaciones
2026-01-12,mudanza,Miraflores,Surco,2,1,true,true,"cama queen, refrigeradora, lavadora, sofa, mesa, 12 cajas",Furgon grande,3,420,400,true,Servicio rapido con acceso facil
2026-01-18,mudanza,Miraflores,Surco,3,2,false,true,"cama, refrigeradora, ropero, sofa, comedor, 15 cajas",Furgon grande,3,520,500,true,Origen sin ascensor
2026-02-02,mudanza,Miraflores,Surco,2,2,true,true,"cama queen, refrigeradora, sofa, mesa, sillas, 10 cajas",Furgon grande,3,450,450,true,Cliente envio fotos
2026-02-14,carga,La Victoria,San Isidro,1,1,false,true,"cajas, exhibidor, mesa plegable, bolsas",Furgon chico,2,260,250,true,Carga comercial pequena
2026-02-20,carga,La Victoria,San Isidro,1,3,false,true,"20 cajas, anaquel desarmado, silla, escritorio",Furgon chico,2,310,300,true,Destino con ascensor
2026-03-03,oficina,San Isidro,Miraflores,5,4,true,true,"8 escritorios, sillas, archivadores, cajas de documentos",Furgon grande,4,780,760,true,Servicio programado temprano
2026-03-16,mudanza,San Miguel,Los Olivos,4,2,false,false,"cama, colchon, ropero, refrigeradora, lavadora, 18 cajas",Camion,4,690,670,true,Ambos puntos sin ascensor
2026-04-08,traslado pequeno,Barranco,Miraflores,1,1,true,true,"sofa, mesa de centro, 4 cajas",Furgon chico,2,180,180,true,Traslado de pocos objetos
2026-04-22,mudanza,Pueblo Libre,Lince,2,6,true,true,"cama, escritorio, silla, comoda, 9 cajas",Furgon chico,2,330,320,true,Volumen medio
2026-05-10,corporativo,Surco,San Borja,1,1,true,true,"equipos de oficina, archivadores, cajas, mobiliario modular",Camion,5,1200,1150,true,Servicio corporativo coordinado
